date,rating,userName,title,review
2025-06-18 22:34:41-07:00,1,Leo Forever,Deceived. I signed up for the FREE version but got charged the full amount a few hours later.  Fraud,"On June 16, 2025, I signed up for the FREE/ trial version BUT to my surprise and dismay, only a few hours later I was  billed for an annual subscription - $79.99 - ABSOLUTELY CRAZY. I signed up for the FREE / Trial version. They are supposed to automatically charge your credit card if you don’t cancel the  annual subscription before the end of the trial. I didn’t even have time to see if I like the app. I was billed hours after my trial started. That’s fraud. They stole from me. This charge was not authorized. You can see both the Free and the yearly plan were done on the same day. I’m not sure why Apple declined this, but I read on the forum that this has happened time and time again with apps. I don’t know if Apple is in cahoots with some of these app developers, but please be careful. It’s extra work but you’ll  have to go to your credit card company and dispute it there but Apple should be taken care of these. This is crazy.. Who can you trust? The options are getting smaller"
2025-06-17 14:38:13-07:00,1,DawgPatch Shiner,Scammers,The app developers are thieves. I subscribed for a free 1 week trial and instead they charged me 79.99 for an annual subscription the same day I subscribed for the free trial.  I requested a refund since I did not subscribe for an annual subscription and they denied it. Do not subscribe for a free trial because they steal your money.
2025-06-12 18:15:54-07:00,1,dont ever install ts,nahuh,HORRRIBLEE APP ISTG DO NOT INSTALL THIS BSSS ISTG EVERYTHING ID PREMIUM AND TJEY LIE JUST TO MAKE U HAVE TO PAY ST THE END NAH YH
2025-06-11 10:01:32-07:00,1,BriSlayer,Do not use!!!,I signed up for the free trial and it immediately charged me $80. Do not use this app!
2025-06-10 16:43:38-07:00,1,TrueLo7,Can do nothing,"No savings of my work, white screen, no more opportunities and just nothing"
2025-06-08 18:29:59-07:00,1,LKRC35,Scam,This is a complete scam. Now they limit the number of times you can use certain features even when you pay for a subscription!! Absolutely ridiculous. I want my money back.
2025-06-07 21:25:29-07:00,1,Jessicaaaaa ✌️,Search free,Requires “free trial”
2025-06-06 21:25:41-07:00,5,luna secreta,Me encata esta. Aplicación. Es genial.,Super.  Excelente.Tiene.  Lo que no tiene otras aplicaciones. Me encanta. Por eso le doy 5 estrellas
2025-06-02 19:36:51-07:00,5,XxXWildflowerXxX,Ten stars,I’d give this app ten stars if I could. Certainly worth every penny!
2025-05-31 10:26:32-07:00,1,aravioliii,Deceptive layout—“Free trial” does not exist,"This app straight-up tricked me. The screen looked like I was starting a 7-day free trial, but the second I confirmed, it charged me $79.99 for a full year—no warning, no clear notice. And no, I didn’t forget to cancel after a trial period. I was immediately charged within seconds and I canceled immediately and never used the app beyond that point. I followed that up with a refund request to Apple within 5 minutes of the incident. 

Apple denied my refund, even though I’ve never abused refunds and they’ve helped in way more minor situations. Now I’m stuck either eating an $80 loss for an app I’ve never used nor got the chance to even enjoy. This is making me rethink using Apple at all. If this is the kind of shady app they allow (and protect), that’s a huge red flag."
2025-05-30 20:03:32-07:00,4,Skadoe,You cam perfect,"I’ve only had a chance to edit two photos but so far so good.
 I like that There are a lot of options to change/add to your photos. 
I’m excited to try them all out!"
